filename	ATTRIBUTE_Code	ATTRIBUTE_Replicate	ATTRIBUTE_polarity	ATTRIBUTE_Type	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	ATTRIBUTE_Organe	ATTRIBUTE_Broad_organ	ATTRIBUTE_Tissue	ATTRIBUTE_Subsystem	ATTRIBUTE_Sppart	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
LQ-01-61-01_01_pos.mzML	V107694 	1	positive	Sample	Celastraceae	Catha	catha edulis	Leaves	photosynthetic	green tissue	aboveground	Catha_edulis|Leaves	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
LQ-01-61-02_01_pos.mzML	V107695	1	positive	Sample	Celastraceae	Catha	catha edulis	Stems	woody vegetative	woody tissue	aboveground	Catha_edulis|Stems	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
LQ-01-61-03_01_pos.mzML	V107696	1	positive	Sample	Celastraceae	Catha	catha edulis	Roots	roots	root tissue	belowground	Catha_edulis|Roots	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
LQ-01-61-04_01_pos.mzML	V114502	1	positive	Sample	Celastraceae	Catha	catha edulis	Aerial_parts	multiple	multiple	aboveground	Catha_edulis |Aerial_parts	False	False	Catha edulis	ICN	1.0	catha edulis	[]	False	False	Catha edulis	282743.0	species	ott3.3draft1	['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']	['ncbi:123405', 'gbif:7979745', 'irmng:10202236']	Catha edulis	both
LQ-01-61-05_01_pos.mzML	V103080	1	positive	Sample	Celastraceae	Celastrus	celastrus orbiculatus	Stems	woody vegetative	woody tissue	aboveground	Celastrus_orbiculatus|Stems	False	False	Celastrus orbiculatus	ICN	1.0	celastrus orbiculatus	[]	False	False	Celastrus orbiculatus	56757.0	species	ott3.3draft1	['? papillosus', 'Catha articulata', 'Celastrus articulata', 'Celastrus articulatus', 'Celastrus articulatus orbiculata', 'Celastrus articulatus papillosus', 'Celastrus articulatus pubescens', 'Celastrus crispulus', 'Celastrus insularis', 'Celastrus jeholensis', 'Celastrus orbiculata', 'Celastrus orbiculatus major', 'Celastrus orbiculatus papillosus', 'Celastrus tatarinowii']	['ncbi:85181', 'gbif:8104460', 'irmng:10764774']	Celastrus orbiculatus	both
LQ-01-61-06_01_pos.mzML	V111863	1	positive	Sample	Celastraceae	Celastrus	celastrus orbiculatus	Roots	roots	root tissue	belowground	Celastrus_orbiculatus|Roots	False	False	Celastrus orbiculatus	ICN	1.0	celastrus orbiculatus	[]	False	False	Celastrus orbiculatus	56757.0	species	ott3.3draft1	['? papillosus', 'Catha articulata', 'Celastrus articulata', 'Celastrus articulatus', 'Celastrus articulatus orbiculata', 'Celastrus articulatus papillosus', 'Celastrus articulatus pubescens', 'Celastrus crispulus', 'Celastrus insularis', 'Celastrus jeholensis', 'Celastrus orbiculata', 'Celastrus orbiculatus major', 'Celastrus orbiculatus papillosus', 'Celastrus tatarinowii']	['ncbi:85181', 'gbif:8104460', 'irmng:10764774']	Celastrus orbiculatus	both
LQ-01-61-07_01_pos.mzML	V100029	1	positive	Sample	Celastraceae	Celastrus	celastrus paniculatus	Seeds	reproductive	green tissue	aboveground	Celastrus_paniculatus|Graines	False	False	Celastrus paniculatus	ICN	1.0	celastrus paniculatus	[]	False	False	Celastrus paniculatus	561287.0	species	ott3.3draft1	['Celastrus marginatus']	['ncbi:994668', 'gbif:7265565']	Celastrus paniculatus	both
LQ-01-61-08_01_pos.mzML	V105603	1	positive	Sample	Celastraceae	Celastrus	celastrus paniculatus	Leaves	photosynthetic	green tissue	aboveground	Celastrus_paniculatus|Leaves	False	False	Celastrus paniculatus	ICN	1.0	celastrus paniculatus	[]	False	False	Celastrus paniculatus	561287.0	species	ott3.3draft1	['Celastrus marginatus']	['ncbi:994668', 'gbif:7265565']	Celastrus paniculatus	both
LQ-01-61-09_01_pos.mzML	V105604	1	positive	Sample	Celastraceae	Celastrus	celastrus paniculatus	Bark_tronc	woody vegetative	woody tissue	aboveground	Celastrus_paniculatus|Bark_tronc	False	False	Celastrus paniculatus	ICN	1.0	celastrus paniculatus	[]	False	False	Celastrus paniculatus	561287.0	species	ott3.3draft1	['Celastrus marginatus']	['ncbi:994668', 'gbif:7265565']	Celastrus paniculatus	both
LQ-01-61-10_01_pos.mzML	V108295	1	positive	Sample	Celastraceae	Elaeodendron	elaeodendron schweinfurthianum	Leaves	photosynthetic	green tissue	aboveground	Elaeodendron_schweinfurthianum|Leaves	False	False	Elaeodendron schweinfurthianum	ICN	1.0	elaeodendron schweinfurthianum	[]	False	False	Elaeodendron schweinfurthianum	6092564.0	species	ott3.3draft1	['Cassine schweinfurthiana', 'Elaeodendron somalense', 'Elaeodendron zanzibaricum']	['gbif:3791126']	Elaeodendron schweinfurthianum	both
